Scoop up water	㧾水
This essay of yours is written poorly, and I know you know how to write it so it's better.	你篇論文寫得好削㗎，我知道你識寫好啲噃。
Even you yourself do things in such a topsy-turvy and untidy way, so how can you teach your child?	你自己做嘢都做到鬼五馬六噉，點教個仔啊？
Seeing that he is so lazy but hasn't yet been fired, you must know he has someone protecting him.	你見佢咁懶都冇俾人炒，就知佢有人射住啦。
You see that he is so lazy but hasn't yet been fired, so you must know he has someone protecting him.	你見佢咁懶都冇俾人炒，就知佢有人照住啦。
Which novels did you read when you studied Eng Lit?	你讀ENG LIT嗰時睇過邊幾本小說啊？
You're practically certain to find a job, as your qualifications are so good and you have so much experience.	你資格咁好，經驗咁多，搵工作係冇走盞㗎。
Your machine has practically fallen apart and you can still use it! That's so fantastic!	你部機爛到甩頭甩骨都仲用得㗎，咁犀利嘅！
You are ridiculous, so do you mean to tell me that a girl like her has to apologize to you first?	你都冇解嘅，唔通要人哋女仔向你道歉先咩？
Your apartment is large enough to hold two beds, so there's no need to use bunk beds.	你間屋咁大，擺兩張牀都夠，唔使用碌架牀。
He meant to give me a hard time, so that's why he derided everything I said.	佢一心同我作對，我講親乜嘢佢都窒頭窒勢。
As soon as she knew her boyfriend had forgotten her birthday, she pursed her lips like that to show her displeasure.	佢一知男朋友唔記得佢嘅生日，就嘴𠴕𠴕噉。
As soon as she knew her boyfriend had forgotten her birthday, she pursed her lips like that to show her displeasure.	佢一知男朋友唔記得佢嘅生日，就𠴕𠴕嘴噉。
With one foot he kicked the ball out into the street. The ball slowly rolled down the street.	佢一腳踢咗個波出馬路，個波慢慢噉碌落去。
In the past he had joined a triad society, but then ended his involvement ten years ago.	佢以前入過黑社會，不過十年前就經已上岸。
He purchased a lot in the N.T. by bidding more than three times the starting price.	佢以高出底價三倍嘅價錢投得新界嘅一幅地。
He was standing at the edge of the ship, so as soon as the boat rocked, it was then very unsteady and dangerous, and he almost fell into the sea.	佢企响船邊，船一搖就危危乎，要跌落海噉。
He's a man with a crippled hand. While operating a machine he wasn't careful, and so he crippled his hand.	佢係個跛手佬，開機器唔小心，整跛咗隻手。
He has a Ph.D. in mathematics, so it should be easy for him to solve this question you have raised.	佢係數學博士，解你呢條題目好濕濕碎之嘛。
When he is scolded he just grins cheekily, so he's really a lazy guy.	佢俾人鬧嗰陣時都嘻皮笑臉，正一係軟皮蛇。
The robber extorted three thousand dollars and a watch from him by threatening to beat him up.	佢俾個賊抌心口，攞走咗三千蚊同埋一隻錶。
Although his son was disobedient, yet that wasn't the appropriate way to punish him.	佢個仔係就係唔聽話，但都唔係噉樣罰法㗎。
When his son borrowed a friend's car, the result was that it caused trouble.	佢個仔借咗朋友架車，結果攪咗單杰嘢出嚟。
His name seems familiar to me and it's right on the tip of my tongue, but I just can't say it.	佢個名好熟，喺晒口唇邊，但就係講唔出嚟。
After doing some exercises for a few weeks, he has become really lively and full of energy.	佢做咗運動幾個星期之後，就好龍精虎猛噉。
Why don't we treat the dispute between these two hooligans as a kind of entertainment for us?	佢兩個衰人鬼打鬼，我哋當睇戲噉睇咪得囉？
He was caught red-handed stealing a car, and had to ask his father to go to the police station to bail him out.	佢前幾日偷車斷正，要阿爸走去差館保釋佢。
Originally, he was a sergeant, but later he was demoted and transferred to an inactive post.	佢原本係沙展，後來搣咗柴，調咗去守水塘。
He has been abroad for so many years that he gradually lost his ability to speak Chinese.	佢去咗外國咁多年，整整吓連中文都唔識講。
When he goes to take a shit, he must take along a newspaper or magazine to read.	佢去踎塔嘅時候，必定要攞報紙或者雜誌睇。
He is arguing with someone over which method for increasing tax revenue is the most effective.	佢同人丫撬緊乜嘢係最有效嘅增加稅收方法。
He and his wife are widely known and well respected in society, so that's why they wouldn't casually say things.	佢同太太都有頭有面，佢哋唔會隨便講嘢嘅。
As for him, he plays it safe and takes no risks, so he won't buy high risk stocks.	佢呢個人，撳地游水，唔會買高風險嘅股票。
As for this person, he's everywhere leading a very busy social life, so it will be quite difficult for you to find him.	佢呢個人，百足咁多爪，你都幾難搵到佢喎。
He's an absent-minded person, always forgetting this or that!	佢呢個失魂魚，成日唔記得呢樣唔記得嗰樣！
They're a sort of maternal grandfather, maternal grandmother. They may be considered marginal relatives.	佢哋係哎吔外公，哎吔外婆，算係哎吔親戚。
The two of them have already broken up and their relationship is now beyond repair.	佢哋兩個經已分咗手，呢段感情冇得摱㗎喇。
Several of them suddenly showed up, and it immediately gave me a shock.	佢哋幾個突然嚟咗，我當場心裏面打咗個特。
They work in collusion for evil purposes and only do evil deeds that dare not see the light of day.	佢哋蛇鼠一窩，淨係做埋啲唔見得光嘅衰嘢。
He won't see you, so the best I can do for you is to give him a call.	佢唔會見你㗎，我最多同你打個電話畀佢啦。
When his daughters screamed, he woke up and then after that he caught someone who had broken into his house to commit rape.	佢啲女大聲叫，佢醒咗，然後就捉咗黃腳雞。
He has been working at this company for more than twenty years, so he is really well-experienced and steady.	佢喺呢間公司做咗廿幾年，佢真係好老水㗎。
He claimed to the managing director that he had connections to him, but it was only to gain some advantage.	佢喺董事長面前認親認戚，無非想搵啲着數。
His son does well in his studies, as both the father and mother spend the whole day looking after him.	佢嘅細路讀書好叻，老豆老母成日都菢住佢。
She waved her hands and shook her head like that, so I then knew she also wasn't willing to help us.	佢噉樣耍手擰頭，我就知佢都唔肯幫我哋手。
Everything he says to you is phony information, so don't believe all of it.	佢對你講嘅都係流嘢嚟㗎，你唔好信十足啊。
His family is so rich that very likely he goes to work only for the fun of it.	佢屋企咁有錢，出嚟做嘢都係賺錢買花戴啫。
With several sons and daughters in his family there's not enough harmony, so it's a household always rife with quarrels.	佢屋企幾個仔女唔夠和睦，成日攪到家嘈閉。
He wants to know more about photography, so who can he consult with?	佢想多了解攝影藝術，邊個可以畀佢偷師啊？
He wants to rent a flat, so the best thing is for you to rent your flat to him, and that will be convenient for everyone.	佢想租屋，不如你間屋租畀佢，大家好做吖。
He's here always thinking up wicked ideas, so who would want to be friends with him?	佢成日喺度出了哥，邊個人想同佢做朋友啊？
All the time he says he wants to engage in big business, but when all is said and done it's just merely talk.	佢成日話要做大生意，講嚟講去得把口嘅咋。
He wears black-framed eyeglasses, a gray windbreaker, and blue trousers.	佢戴黑框眼鏡，着灰色風褸，藍色四個骨褲。
He defeated other opponents of the same group, and so was qualified to participate in the final match.	佢擊敗咗同組嘅對手而入圍，有份參加決賽。
After he gets back from vacation, he will open a file on this matter for follow-up action.	佢放完假返嚟，就會開快佬跟進呢單嘢㗎喇。
Her breakfast is quite simple. She only eats a piece of toast and drinks a cup of tea.	佢早餐好簡單，淨係食一件多士，飲一杯茶。
